tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.392573, 0.44614, 0.446425, 0.449327, 0.570179, 0.570248, 0.690172
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.0470448, 0.38548, 0.435905, 0.444972, 0.45493, 0.573401, 0.583384, 0.675806
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.0934594, 0.367913, 0.410503, 0.441836, 0.473476, 0.582221, 0.607038, 0.656222
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.138083, 0.340258, 0.390701, 0.438259, 0.496545, 0.594663, 0.603258, 0.667031
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.177374, 0.307986, 0.380674, 0.435562, 0.521784, 0.578616, 0.607604, 0.667819
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.196953, 0.290258, 0.377652, 0.434574, 0.54253, 0.557415, 0.614267, 0.660293
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.198701, 0.291033, 0.370481, 0.441427, 0.540661, 0.555724, 0.615217, 0.662185
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.20365, 0.29334, 0.354805, 0.456223, 0.535679, 0.551049, 0.617661, 0.667196
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.210832, 0.297123, 0.336892, 0.472853, 0.529158, 0.544237, 0.620694, 0.673891
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.218231, 0.302295, 0.3202, 0.487578, 0.524024, 0.536071, 0.623308, 0.680904
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.221928, 0.308713, 0.308793, 0.493818, 0.527025, 0.52713, 0.624425, 0.687424
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.202238, 0.316474, 0.324928, 0.482709, 0.508121, 0.556916, 0.618438, 0.681506
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.158483, 0.344197, 0.350879, 0.468111, 0.489108, 0.590481, 0.602962, 0.687983
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.107631, 0.364773, 0.392041, 0.456599, 0.470752, 0.586408, 0.610125, 0.65446
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0542823, 0.383514, 0.430065, 0.449451, 0.45445, 0.574485, 0.587061, 0.6723
tefreqs:, 16, 0, 0, 0, 0, 0, 0.392573, 0.44614, 0.446425, 0.449327, 0.570179, 0.570248, 0.690172
